SAT Score,GPA
1600,4
1593,4
1587,4
1580,4
1573,4
1567,4
1560,4
1553,4
1547,4
1540,4
1533,4
1527,4
1520,3.99
1513,3.99
1507,3.99
1500,3.99
1493,3.99
1487,3.99
1480,3.99
1473,3.99
1467,3.99
1460,3.99
1453,3.99
1447,3.99
1440,3.99
1433,3.99
1427,3.99
1420,3.99
1413,3.99
1407,3.99
1400,3.99
1393,3.99
1387,3.99
1380,3.99
1373,3.98
1367,3.98
1360,3.98
1353,3.98
1347,3.98
1340,3.98
1333,3.98
1327,3.98
1320,3.97
1313,3.97
1307,3.97
1300,3.97
1293,3.97
1287,3.96
1280,3.96
1273,3.96
1267,3.95
1260,3.95
1253,3.95
1247,3.94
1240,3.94
1233,3.93
1227,3.93
1220,3.92
1213,3.92
1207,3.91
1200,3.91
1193,3.9
1187,3.89
1180,3.88
1173,3.87
1167,3.86
1160,3.85
1153,3.84
1147,3.83
1140,3.82
1133,3.81
1127,3.79
1120,3.78
1113,3.76
1107,3.75
1100,3.73
1093,3.71
1087,3.69
1080,3.68
1073,3.66
1067,3.63
1060,3.61
1053,3.59
1047,3.57
1040,3.54
1033,3.51
1027,3.49
1020,3.46
1013,3.43
1007,3.4
1000,3.37
993,3.34
987,3.31
980,3.28
973,3.25
967,3.22
960,3.19
953,3.16
947,3.12
940,3.09
933,3.06
927,3.02
920,2.99
913,2.95
907,2.92
900,2.88
893,2.85
887,2.81
880,2.77
873,2.74
867,2.7
860,2.66
853,2.62
847,2.58
840,2.54
833,2.49
827,2.44
820,2.39
813,2.35
807,2.3
800,2.25
793,2.2
787,2.15
780,2.1
773,2.05
767,2
760,1.95
753,1.89
747,1.84
740,1.79
733,1.73
727,1.68
720,1.62
713,1.55
707,1.48
700,1.39
693,1.31
687,1.23
680,1.12
673,0.99
667,0.87
660,0.75
653,0.62
647,0.48
640,0.31
633,0.15
627,0.02
620,0
613,0
607,0
600,0
593,0
587,0
580,0
573,0
567,0
560,0
553,0
547,0
540,0
533,0
527,0
520,0
513,0
507,0
500,0
493,0
487,0
480,0
473,0
467,0
460,0
453,0
447,0
440,0
433,0
427,0
420,0
413,0
407,0
400,0